width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,response,question_order,load_time,stimulus,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,webgazer-init-camera,38179,.25,,,,,6460.0,,,,,,w5a3f683
,,,,,,,,,,,webgazer-init-camera,32917,.25,,,,,215.0,,,,,,w669f226
,,,,,,,,,,,webgazer-init-camera,39770,.25,,,,,6787.0,,,,,,wc81b066
,,,,,,,,,,,webgazer-init-camera,47693,.25,,,,,5152.0,,,,,,w9e4935e
,,,,,,,,,,,webgazer-init-camera,172570,.25,,,,,5697.0,,,,,,w958edfc
,,,,,,,,,,,webgazer-init-camera,32658,.50,,,,,3553.0,,,,,,w08c798a
