width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,response,question_order,load_time,stimulus,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,askforPermission,14964,.25,,,,,,,,,,,w5a3f683
,,,,,,,,,,,askforPermission,20928,.25,,,,,,,,,,,w669f226
,,,,,,,,,,,askforPermission,17245,.25,,,,,,,,,,,wc81b066
,,,,,,,,,,,askforPermission,20210,.25,,,,,,,,,,,w9e4935e
,,,,,,,,,,,askforPermission,17221,.25,,,,,,,,,,,w958edfc
,,,,,,,,,,,askforPermission,14665,.50,,,,,,,,,,,w08c798a
