width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,instructions,362156,.25,"[{'page_index': 0, 'viewing_time': 19918}]",19920.0,,,,,,,,,w0597382
,,,,,,,,,,,instructions,703029,.25,"[{'page_index': 0, 'viewing_time': 7671}]",7673.0,,,,,,,,,w0597382
,,,,,,,,,,,instructions,10103,.50,"[{'page_index': 0, 'viewing_time': 9079}]",9080.0,,,,,,,,,wa5a8528
,,,,,,,,,,,instructions,17938,.50,"[{'page_index': 0, 'viewing_time': 2165}]",2165.0,,,,,,,,,wa5a8528
,,,,,,,,,,,instructions,138639,.50,"[{'page_index': 0, 'viewing_time': 1601}]",1601.0,,,,,,,,,wa5a8528
,,,,,,,,,,,instructions,315193,.50,"[{'page_index': 0, 'viewing_time': 2063}]",2064.0,,,,,,,,,wa5a8528
,,,,,,,,,,,instructions,3094,.50,"[{'page_index': 0, 'viewing_time': 2100}]",2100.0,,,,,,,,,wa57de13
,,,,,,,,,,,instructions,9100,.50,"[{'page_index': 0, 'viewing_time': 1489}]",1490.0,,,,,,,,,wa57de13
,,,,,,,,,,,instructions,289018,.50,"[{'page_index': 0, 'viewing_time': 5056}]",5058.0,,,,,,,,,wa57de13
,,,,,,,,,,,instructions,566452,.50,"[{'page_index': 0, 'viewing_time': 4877}]",4879.0,,,,,,,,,wa57de13
,,,,,,,,,,,instructions,2494,.25,"[{'page_index': 0, 'viewing_time': 1497}]",1498.0,,,,,,,,,we98a064
,,,,,,,,,,,instructions,11521,.25,"[{'page_index': 0, 'viewing_time': 2553}]",2557.0,,,,,,,,,we98a064
,,,,,,,,,,,instructions,132650,.25,"[{'page_index': 0, 'viewing_time': 1498}]",1500.0,,,,,,,,,we98a064
,,,,,,,,,,,instructions,365373,.25,"[{'page_index': 0, 'viewing_time': 27329}]",27331.0,,,,,,,,,we98a064
