width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,instructions,107499,.25,"[{'page_index': 0, 'viewing_time': 10017}]",10018.0,,,,,,,,wa900b3a
,,,,,,,,,,,instructions,577539,.25,"[{'page_index': 0, 'viewing_time': 39045}]",39045.0,,,,,,,,wa900b3a
,,,,,,,,,,,instructions,3245,.25,"[{'page_index': 0, 'viewing_time': 1253}, {'page_index': 1, 'viewing_time': 889}]",2144.0,,,,,,,,w56a4125
,,,,,,,,,,,instructions,51922,.25,"[{'page_index': 0, 'viewing_time': 922}]",923.0,,,,,,,,w56a4125
,,,,,,,,,,,instructions,208420,.25,"[{'page_index': 0, 'viewing_time': 5653}]",5654.0,,,,,,,,w56a4125
,,,,,,,,,,,instructions,17120,.50,"[{'page_index': 0, 'viewing_time': 15241}, {'page_index': 1, 'viewing_time': 895}]",16137.0,,,,,,,,w44f295b
,,,,,,,,,,,instructions,88463,.50,"[{'page_index': 0, 'viewing_time': 1157}]",1157.0,,,,,,,,w44f295b
,,,,,,,,,,,instructions,267442,.50,"[{'page_index': 0, 'viewing_time': 9471}]",9471.0,,,,,,,,w44f295b
,,,,,,,,,,,instructions,3427,.25,"[{'page_index': 0, 'viewing_time': 1598}, {'page_index': 1, 'viewing_time': 823}]",2422.0,,,,,,,,w19aedb5
,,,,,,,,,,,instructions,93775,.25,"[{'page_index': 0, 'viewing_time': 3514}]",3515.0,,,,,,,,w19aedb5
,,,,,,,,,,,instructions,281685,.25,"[{'page_index': 0, 'viewing_time': 14894}]",14894.0,,,,,,,,w19aedb5
,,,,,,,,,,,instructions,7050,.50,"[{'page_index': 0, 'viewing_time': 2519}, {'page_index': 1, 'viewing_time': 3544}]",6063.0,,,,,,,,w6bd8020
,,,,,,,,,,,instructions,83361,.50,"[{'page_index': 0, 'viewing_time': 2569}]",2569.0,,,,,,,,w6bd8020
,,,,,,,,,,,instructions,222339,.50,"[{'page_index': 0, 'viewing_time': 8853}]",8853.0,,,,,,,,w6bd8020
,,,,,,,,,,,instructions,7728,.25,"[{'page_index': 0, 'viewing_time': 3654}, {'page_index': 1, 'viewing_time': 2039}]",5695.0,,,,,,,,w110f64d
,,,,,,,,,,,instructions,621203,.25,"[{'page_index': 0, 'viewing_time': 3226}]",3230.0,,,,,,,,w110f64d
,,,,,,,,,,,instructions,811200,.25,"[{'page_index': 0, 'viewing_time': 10438}]",10439.0,,,,,,,,w110f64d
