width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,wid
,,,,,,,,,,,webgazer-init-camera,17364,.25,,,4024.0,,,,,,,w90b6a49
,,,,,,,,,,,webgazer-init-camera,61290,.50,,,23724.0,,,,,,,w1069836
,,,,,,,,,,,webgazer-init-camera,6475,.25,,,1863.0,,,,,,,w0771b87
,,,,,,,,,,,webgazer-init-camera,15971,.50,,,4093.0,,,,,,,w40397a8
,,,,,,,,,,,webgazer-init-camera,281773,.25,,,20208.0,,,,,,,wf03474e
